Month,VHT,ToD,Agents,CallsOffered,CallsAbandoned,CallsHandled,ASA,Avehandletime
Oct-Nov,Off,afternoon,35,188,1,187,0.12,5.8
Oct-Nov,Off,afternoon,33,207,0,207,0,4.7
Oct-Nov,Off,morning,34,191,0,191,0.22,5.2
Oct-Nov,Off,morning,9,49,0,49,0,5.9
Oct-Nov,Off,evening,10,62,1,61,0.17,5.4
Oct-Nov,On,morning,18,244,60,184,12.35,5.2
Oct-Nov,Off,evening,9,53,1,52,0.17,4.8
Oct-Nov,Off,afternoon,29,187,0,187,0,4.8
Oct-Nov,On,morning,29,185,0,185,0,4.7
Oct-Nov,Off,afternoon,31,193,0,193,0,4.8
Oct-Nov,Off,morning,45,267,6,261,1.08,5.1
Oct-Nov,Off,morning,28,189,0,189,0,4.5
Oct-Nov,Off,morning,33,182,0,182,0,5.3
Oct-Nov,Off,afternoon,31,185,3,182,0.33,5.1
Oct-Nov,On,evening,11,60,0,60,0,5.4
Oct-Nov,On,afternoon,30,162,0,162,0,5.7
Oct-Nov,On,evening,2,20,0,20,0,3.9
Oct-Nov,Off,morning,39,240,7,233,0.92,5.1
Oct-Nov,On,afternoon,27,164,0,164,0.07,4.8
Oct-Nov,On,evening,8,43,0,43,0,5.6
Oct-Nov,Off,afternoon,5,37,1,36,1.03,3.6
Oct-Nov,Off,afternoon,6,37,0,37,0,3.9
Oct-Nov,On,afternoon,28,168,0,168,0,4.9
Dec-Jan,On,afternoon,28,171,5,166,0.85,5
Dec-Jan,Off,morning,35,196,4,192,0.8,5.5
Dec-Jan,On,afternoon,31,183,9,174,1.68,5.2
Dec-Jan,On,afternoon,29,170,4,166,0.47,5.3
Dec-Jan,On,afternoon,33,176,0,176,0.23,5.5
Dec-Jan,On,morning,32,191,5,186,1.17,5.1
Dec-Jan,On,evening,15,86,0,86,0,5.1
Dec-Jan,On,afternoon,4,31,0,31,0.25,4.1
Dec-Jan,On,evening,7,43,0,43,0,4.8
Dec-Jan,On,afternoon,30,201,5,196,0.68,4.7
Dec-Jan,On,evening,9,50,0,50,0,5.5
Dec-Jan,On,evening,10,55,0,55,0,5.1
